ST_CASE,YEAR,STATE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
10065,2019,1,29,1,1,4,1,2,4,2,4,2,1,2,2,1,13,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10066,2019,1,83,1,1,4,1,2,1,1,3,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10067,2019,1,125,1,1,4,1,2,4,2,3,2,1,2,1,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0
10068,2019,1,69,1,1,4,2,2,1,1,3,1,4,1,1,3,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10069,2019,1,15,1,1,4,2,2,1,2,3,2,3,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10070,2019,1,97,1,1,4,2,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10071,2019,1,53,1,1,4,1,1,3,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10072,2019,1,97,1,1,4,2,1,4,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10073,2019,1,73,1,1,4,2,1,3,2,1,2,1,1,2,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,1,0,0,0
10074,2019,1,73,1,1,4,2,1,1,2,1,2,2,2,2,2,13,2,2,2,2,2,2,2,1,2,3,2,2,1,1,2,2,1,2,2,1,2,0,0,0
10075,2019,1,111,1,1,4,1,2,4,2,4,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10076,2019,1,97,1,1,4,2,2,1,2,5,2,2,1,1,2,13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10077,2019,1,73,1,1,4,2,2,4,2,4,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10078,2019,1,31,1,1,4,2,2,1,2,4,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10079,2019,1,103,1,1,4,2,2,1,1,3,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10080,2019,1,61,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10081,2019,1,117,1,1,4,2,2,1,1,3,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10082,2019,1,97,1,1,4,1,2,1,2,3,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10083,2019,1,3,1,1,4,2,2,1,1,3,1,3,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10084,2019,1,49,1,1,4,1,2,1,2,4,2,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10085,2019,1,97,1,1,4,1,2,4,2,4,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10086,2019,1,91,2,1,4,1,2,1,2,4,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0
10087,2019,1,81,1,1,4,2,2,4,2,6,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10089,2019,1,97,1,1,4,2,2,1,2,4,2,1,2,2,3,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10090,2019,1,101,1,1,4,2,2,1,1,3,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10091,2019,1,15,1,1,4,1,2,4,2,4,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10092,2019,1,49,1,1,4,1,2,1,2,4,2,1,2,1,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10093,2019,1,101,1,1,4,2,2,4,2,6,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10094,2019,1,89,1,1,4,2,2,1,2,5,2,1,1,1,1,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10095,2019,1,39,1,1,4,1,2,1,2,3,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10096,2019,1,117,3,1,4,2,2,1,2,6,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10097,2019,1,109,1,1,4,2,2,4,2,4,2,1,2,2,1,13,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10098,2019,1,21,1,1,4,1,2,1,1,5,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10099,2019,1,39,1,1,4,2,2,1,2,5,3,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10100,2019,1,101,1,1,4,2,2,1,1,3,1,4,1,1,2,13,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10101,2019,1,59,1,1,4,2,2,1,1,3,1,4,1,2,2,1,2,2,2,1,1,2,2,2,2,3,1,1,1,1,2,1,1,2,2,2,2,0,0,0
10102,2019,1,51,1,1,4,2,2,1,2,4,2,1,2,2,1,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10103,2019,1,31,1,1,4,1,2,4,2,3,2,1,2,2,1,13,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,0,0,0
10104,2019,1,117,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10105,2019,1,125,1,1,4,2,2,4,2,5,2,1,2,2,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10106,2019,1,3,1,1,4,1,2,1,2,4,2,1,1,2,1,6,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0
10107,2019,1,121,1,1,4,1,2,4,2,5,2,1,2,1,1,13,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10108,2019,1,89,1,1,4,2,2,1,1,3,1,4,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,0,0,0
10109,2019,1,47,1,1,4,1,2,4,2,3,2,1,1,1,1,13,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10110,2019,1,45,1,1,4,1,2,1,2,3,2,2,2,1,2,13,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10111,2019,1,53,1,1,4,2,2,1,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10112,2019,1,129,1,1,4,1,2,1,2,3,2,3,1,1,3,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,0,0,0
10113,2019,1,7,1,1,4,1,2,1,2,5,2,3,2,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10114,2019,1,81,1,1,4,1,2,1,2,5,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10115,2019,1,89,1,1,4,2,2,1,2,4,2,4,2,1,2,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10116,2019,1,109,1,1,4,1,2,4,2,6,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10117,2019,1,111,1,1,4,1,2,4,2,4,2,1,2,2,1,13,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,0,0,0
10118,2019,1,127,1,1,4,2,2,4,2,3,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10119,2019,1,95,1,1,4,2,2,4,2,5,2,1,2,2,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10120,2019,1,29,1,1,4,1,2,1,2,4,2,3,1,1,2,13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10121,2019,1,97,1,1,4,2,2,1,1,4,1,4,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10122,2019,1,15,1,1,4,1,2,1,2,6,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10123,2019,1,37,1,1,4,1,2,4,2,3,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0
10124,2019,1,13,1,1,4,2,1,1,2,1,3,2,2,2,2,13,2,2,1,2,2,2,2,1,2,3,2,2,2,2,1,1,1,2,2,2,2,0,0,0
10125,2019,1,15,1,1,4,2,1,4,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10126,2019,1,73,1,1,4,2,1,4,2,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10127,2019,1,97,1,1,4,2,1,3,2,1,2,1,2,2,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10128,2019,1,73,1,1,4,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10129,2019,1,3,1,1,4,2,1,4,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10130,2019,1,97,1,1,4,1,1,4,2,1,2,1,2,1,1,13,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10131,2019,1,53,1,1,4,1,1,1,2,1,2,5,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10132,2019,1,13,1,1,4,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10133,2019,1,83,1,1,4,2,1,2,2,1,3,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,0,0,0
10134,2019,1,13,1,1,4,1,1,3,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10135,2019,1,71,1,1,4,2,2,4,2,3,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10136,2019,1,59,1,1,4,2,2,1,1,3,1,4,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10137,2019,1,71,1,1,4,1,2,1,2,5,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10138,2019,1,101,1,1,4,2,2,1,1,3,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10139,2019,1,97,1,1,4,1,2,1,2,3,2,3,1,1,2,13,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,0,0,0
10140,2019,1,5,1,1,4,1,2,1,2,5,2,4,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10141,2019,1,117,1,1,4,1,2,1,2,4,2,3,1,1,2,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10142,2019,1,73,1,1,4,2,2,1,1,4,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10143,2019,1,83,1,1,4,1,2,1,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10144,2019,1,73,1,1,4,2,2,4,2,4,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10145,2019,1,69,1,1,4,1,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10146,2019,1,41,1,1,4,1,2,1,2,4,2,4,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10147,2019,1,95,1,1,4,2,2,1,1,3,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10148,2019,1,133,1,1,4,1,2,4,2,5,2,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10149,2019,1,45,1,1,4,1,2,4,2,4,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10150,2019,1,15,1,1,4,2,2,4,2,3,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10151,2019,1,9,1,1,4,1,2,4,2,5,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10152,2019,1,73,1,1,4,2,2,1,1,3,1,4,1,2,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10153,2019,1,97,1,1,4,2,2,1,2,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
