ST_CASE,YEAR,STATE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
10011,2018,1,29,1,1,4,1,1,1,2,1,2,3,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10012,2018,1,83,1,1,4,2,2,3,2,3,2,1,2,1,1,13,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10013,2018,1,89,2,1,4,1,2,1,1,3,1,4,2,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
10014,2018,1,65,1,1,4,1,2,1,2,5,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10015,2018,1,115,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10016,2018,1,43,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10017,2018,1,9,1,1,4,1,2,1,2,3,3,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10018,2018,1,43,1,1,4,1,2,1,1,4,1,4,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10019,2018,1,101,1,1,4,2,2,4,2,4,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10020,2018,1,33,1,1,4,1,2,1,1,3,1,4,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10021,2018,1,89,1,1,4,2,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10022,2018,1,19,1,1,4,1,2,1,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,1,2,3,1,1,1,1,2,2,1,1,2,1,2,0,0,0
10023,2018,1,77,1,1,4,1,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10024,2018,1,115,1,1,4,2,2,1,2,5,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10025,2018,1,35,1,1,4,1,2,1,1,3,1,3,1,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10026,2018,1,29,1,1,4,1,2,4,2,4,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10027,2018,1,73,1,1,4,2,2,1,2,4,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10028,2018,1,117,1,1,4,1,2,1,2,5,2,4,1,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10029,2018,1,77,1,1,4,1,2,4,2,6,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10030,2018,1,89,1,1,4,2,2,1,2,4,2,3,1,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10031,2018,1,103,1,1,4,1,2,1,2,3,3,4,2,1,2,13,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10032,2018,1,97,1,1,4,2,2,1,2,3,2,1,1,1,1,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10033,2018,1,43,1,1,4,2,2,4,2,5,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0
10034,2018,1,103,1,1,4,2,2,1,2,3,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10035,2018,1,51,1,1,4,1,2,1,2,5,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10036,2018,1,107,1,1,4,1,2,4,2,4,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10037,2018,1,51,1,1,4,1,2,4,2,4,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10038,2018,1,113,1,1,4,2,2,4,2,6,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10039,2018,1,109,1,1,4,1,2,1,2,3,2,4,1,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10040,2018,1,97,2,1,4,2,2,4,2,4,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10041,2018,1,83,1,1,4,1,2,4,2,6,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10042,2018,1,119,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10043,2018,1,73,1,1,4,2,2,1,2,5,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,1,0,0,0
10044,2018,1,77,2,1,4,1,2,2,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10045,2018,1,49,1,1,4,1,2,1,2,5,2,3,2,1,2,1,2,2,1,2,2,2,2,1,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,0
10046,2018,1,113,1,1,4,2,2,1,2,3,2,4,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,1,2,2,2,0,0,0
10047,2018,1,97,1,1,4,2,2,1,2,3,2,3,2,1,2,13,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10048,2018,1,5,1,1,4,1,2,1,2,4,2,3,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10049,2018,1,39,1,1,4,1,2,4,2,4,2,1,1,1,1,13,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10050,2018,1,97,1,1,4,2,2,1,2,3,2,4,1,1,2,13,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10051,2018,1,25,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10052,2018,1,9,1,1,4,1,2,4,2,6,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10053,2018,1,73,1,1,4,2,2,1,2,3,2,3,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10054,2018,1,81,1,1,4,1,2,4,2,4,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10055,2018,1,109,1,1,4,2,2,1,2,3,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10056,2018,1,73,1,1,4,2,2,3,2,3,2,1,2,2,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10057,2018,1,115,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10058,2018,1,33,1,1,4,2,2,4,2,5,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10059,2018,1,3,3,1,4,1,2,1,2,3,3,4,1,1,3,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10060,2018,1,83,1,1,4,1,2,4,2,6,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10061,2018,1,113,1,1,4,2,2,1,1,3,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10062,2018,1,3,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10063,2018,1,111,1,1,4,1,2,4,2,6,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10064,2018,1,115,1,1,4,1,2,4,2,5,2,1,1,1,1,13,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10065,2018,1,99,1,1,4,1,2,1,2,3,2,3,1,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10066,2018,1,127,1,1,4,1,2,4,2,6,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10067,2018,1,73,1,1,4,2,2,4,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10068,2018,1,43,2,1,4,1,2,1,2,4,2,3,2,2,2,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10069,2018,1,47,2,1,4,1,2,1,2,4,2,3,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10070,2018,1,115,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10071,2018,1,47,2,1,4,2,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10072,2018,1,53,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10073,2018,1,55,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10074,2018,1,63,2,1,4,1,2,4,2,4,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10075,2018,1,47,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10076,2018,1,117,1,1,4,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,0,0,0
10077,2018,1,97,1,1,4,2,1,1,2,1,3,1,2,2,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10078,2018,1,63,1,1,4,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10079,2018,1,117,1,1,4,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10080,2018,1,101,1,1,4,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10081,2018,1,63,1,1,4,1,2,4,2,4,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,0,0,0
10082,2018,1,101,1,1,4,2,2,1,2,5,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10083,2018,1,97,1,1,4,1,2,1,2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10084,2018,1,91,1,1,4,1,2,1,1,3,1,4,1,1,3,1,1,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1,1,2,2,2,2,0,0,0
10085,2018,1,21,1,1,4,1,2,4,2,4,2,1,1,1,1,13,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10086,2018,1,81,1,1,4,1,2,4,2,5,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,0,0,0
10087,2018,1,47,1,1,4,1,2,3,2,3,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10088,2018,1,101,1,1,4,2,2,4,2,4,2,1,2,2,1,99,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10089,2018,1,33,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10090,2018,1,97,1,1,4,2,2,1,2,5,2,4,2,1,2,13,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10091,2018,1,51,1,1,4,1,2,4,2,4,2,1,2,1,1,13,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10092,2018,1,51,1,1,4,2,2,4,2,3,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10093,2018,1,103,1,1,4,2,2,4,2,4,2,1,2,1,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10094,2018,1,77,1,1,4,2,2,1,2,3,2,1,2,1,3,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10095,2018,1,127,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10096,2018,1,65,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10097,2018,1,121,1,1,4,2,2,1,1,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10098,2018,1,47,1,1,4,1,2,1,2,4,2,3,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10099,2018,1,121,1,1,4,1,2,4,2,6,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10100,2018,1,115,1,1,4,1,2,4,2,5,2,1,1,2,1,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10101,2018,1,95,1,1,4,2,2,4,2,6,2,1,1,2,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10102,2018,1,69,1,1,4,2,2,1,1,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10103,2018,1,121,1,1,4,1,2,1,2,3,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10104,2018,1,123,1,1,4,1,2,1,2,4,2,3,1,1,2,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10105,2018,1,57,1,1,4,1,2,4,2,4,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10106,2018,1,69,1,1,4,1,2,1,2,5,2,3,1,1,2,13,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10107,2018,1,59,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10109,2018,1,121,1,1,4,2,2,4,2,5,2,1,1,1,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10110,2018,1,43,1,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10111,2018,1,89,1,1,4,2,2,4,2,5,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10112,2018,1,59,1,1,4,1,2,4,2,5,2,1,2,2,1,13,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10113,2018,1,81,1,1,4,2,1,1,2,1,3,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,0,0,0
10114,2018,1,113,1,1,4,1,2,4,1,6,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10115,2018,1,97,1,1,4,1,2,1,2,6,2,1,2,1,1,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10116,2018,1,3,1,1,4,1,2,1,2,5,2,3,1,1,2,13,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10117,2018,1,15,1,1,4,1,2,4,2,4,2,1,1,1,1,13,2,2,1,2,2,2,2,1,1,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10118,2018,1,35,1,1,4,1,2,4,2,3,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10119,2018,1,95,1,1,4,2,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
10120,2018,1,73,1,1,4,2,2,1,2,4,3,2,2,2,3,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,1,2,0,0,0
10121,2018,1,103,1,1,4,2,2,1,2,3,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10122,2018,1,19,1,1,4,1,2,1,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10124,2018,1,3,1,1,4,1,2,1,2,5,3,4,2,2,2,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,0,0,0
10125,2018,1,113,1,1,4,2,2,1,1,3,1,1,2,2,1,13,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10126,2018,1,89,1,1,4,2,2,1,1,3,1,4,1,2,2,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10127,2018,1,73,1,1,4,2,2,1,1,4,1,4,1,2,3,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10128,2018,1,81,1,1,4,1,2,4,2,6,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10129,2018,1,115,1,1,4,1,2,4,2,5,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10130,2018,1,127,1,1,4,1,2,1,1,5,1,4,2,1,2,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10131,2018,1,19,1,1,4,1,2,4,2,3,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10132,2018,1,73,1,1,4,2,2,4,2,4,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10133,2018,1,19,1,1,4,1,2,4,2,4,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10134,2018,1,15,1,1,4,1,2,4,2,6,2,1,2,1,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,1,0,0,0
10135,2018,1,127,1,1,4,1,2,1,2,5,2,3,2,1,2,13,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10136,2018,1,127,1,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10137,2018,1,101,1,1,4,2,2,1,2,5,2,3,1,1,3,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,2,2,1,0,0,0
10138,2018,1,49,1,1,4,1,2,4,2,4,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0,0
10139,2018,1,125,1,1,4,1,1,1,2,1,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,0,0,0
10140,2018,1,43,1,1,4,1,1,1,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10141,2018,1,73,1,1,4,2,1,1,2,1,2,1,2,1,3,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10142,2018,1,35,1,1,4,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10143,2018,1,101,1,1,4,2,2,1,2,6,2,1,2,1,1,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10144,2018,1,95,1,1,4,2,2,1,2,4,2,1,2,1,1,13,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10145,2018,1,97,1,1,4,2,2,1,2,3,3,3,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10146,2018,1,47,1,1,4,2,2,1,2,6,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10147,2018,1,73,2,1,4,2,2,1,2,5,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10148,2018,1,89,1,1,4,2,2,4,2,3,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,0,0,0
10149,2018,1,53,1,1,4,1,2,1,2,5,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10150,2018,1,125,1,1,4,2,2,4,1,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,0,0,0
10151,2018,1,81,1,1,4,1,2,1,2,5,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10152,2018,1,15,1,1,4,2,2,1,2,4,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,0,0,0
10153,2018,1,39,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10154,2018,1,73,1,1,4,2,2,1,2,4,2,3,2,2,2,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10155,2018,1,45,1,1,4,2,2,4,2,6,2,1,1,1,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10156,2018,1,69,1,1,4,2,2,4,2,3,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10157,2018,1,63,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10158,2018,1,41,1,1,4,1,2,1,1,5,1,4,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
